epoch,train_loss,val_loss,val_pr_auc,val_roc_auc,seed,variant
1,1.3869621753692627,1.431677222251892,0.010973808128325189,0.7300219935916955,0,GraphSAGE 100ep (full graph)
2,1.3683983087539673,1.4124257564544678,0.015665827409951077,0.7756095561462791,0,GraphSAGE 100ep (full graph)
3,1.352487564086914,1.3880678415298462,0.015215163785909435,0.7883915805796728,0,GraphSAGE 100ep (full graph)
4,1.3270131349563599,1.356757402420044,0.016021565164855554,0.7927417084254911,0,GraphSAGE 100ep (full graph)
5,1.2982192039489746,1.3176898956298828,0.017285370235426947,0.7957612263638202,0,GraphSAGE 100ep (full graph)
6,1.2552217245101929,1.2710425853729248,0.018926591136495963,0.7986021808120851,0,GraphSAGE 100ep (full graph)
7,1.2161263227462769,1.21914803981781,0.019841193854651988,0.8024373641533614,0,GraphSAGE 100ep (full graph)
8,1.1676476001739502,1.1672621965408325,0.02054036897987998,0.8066616777558793,0,GraphSAGE 100ep (full graph)
9,1.1169172525405884,1.1214567422866821,0.020951792086845857,0.8115156361960694,0,GraphSAGE 100ep (full graph)
10,1.0833865404129028,1.0839958190917969,0.021139611969252813,0.817443580772792,0,GraphSAGE 100ep (full graph)
11,1.0421561002731323,1.0569487810134888,0.021558137272213902,0.8240625715532657,0,GraphSAGE 100ep (full graph)
12,1.017966628074646,1.036115050315857,0.02226747893560373,0.8302795016952895,0,GraphSAGE 100ep (full graph)
13,0.9926154613494873,1.0229548215866089,0.023344254030521757,0.8354553333145314,0,GraphSAGE 100ep (full graph)
14,0.9882602095603943,1.0112911462783813,0.02449857663419286,0.8394719482517221,0,GraphSAGE 100ep (full graph)
15,0.9815934896469116,1.001356840133667,0.025135291815895133,0.8424152462770791,0,GraphSAGE 100ep (full graph)
16,0.9491990208625793,0.9930267930030823,0.027503955897355915,0.8452532848177294,0,GraphSAGE 100ep (full graph)
17,0.9443699717521667,0.980060875415802,0.02860762588730529,0.8481243782783048,0,GraphSAGE 100ep (full graph)
18,0.9197415113449097,0.9673187136650085,0.02715103159379224,0.8513726515590785,0,GraphSAGE 100ep (full graph)
19,0.8992102742195129,0.957545280456543,0.028381643908215924,0.8547234357231188,0,GraphSAGE 100ep (full graph)
20,0.896216630935669,0.951040506362915,0.030590523073250955,0.8580485025380347,0,GraphSAGE 100ep (full graph)
21,0.8914579153060913,0.9432214498519897,0.03309755307768428,0.8613746687935265,0,GraphSAGE 100ep (full graph)
22,0.8596835136413574,0.9358428120613098,0.03639832883992416,0.86445049721005,0,GraphSAGE 100ep (full graph)
23,0.864693284034729,0.9295741319656372,0.040460733825799136,0.8670803829686138,0,GraphSAGE 100ep (full graph)
24,0.8508874177932739,0.923922598361969,0.04443263595571488,0.8690971393990267,0,GraphSAGE 100ep (full graph)
25,0.8418546319007874,0.9175786375999451,0.05047020040271138,0.8707254586937786,0,GraphSAGE 100ep (full graph)
26,0.8228911757469177,0.9123678207397461,0.053649201565626664,0.8720142659584994,0,GraphSAGE 100ep (full graph)
27,0.807073712348938,0.9054109454154968,0.05668164834940929,0.873251805831146,0,GraphSAGE 100ep (full graph)
28,0.8081210255622864,0.8972987532615662,0.059953616726313066,0.8745134855946994,0,GraphSAGE 100ep (full graph)
29,0.8111292719841003,0.8919312357902527,0.06284139890337624,0.8763061951564386,0,GraphSAGE 100ep (full graph)
30,0.7835451364517212,0.8915733695030212,0.0645692136194895,0.8782192456594803,0,GraphSAGE 100ep (full graph)
31,0.7832809090614319,0.893358051776886,0.06761400615208149,0.8806289803931504,0,GraphSAGE 100ep (full graph)
32,0.7668497562408447,0.883610188961029,0.0717845248642732,0.8834494278845855,0,GraphSAGE 100ep (full graph)
33,0.7595182061195374,0.8770235180854797,0.07796260496040179,0.8862840724999798,0,GraphSAGE 100ep (full graph)
34,0.7618799805641174,0.8713899850845337,0.08202166471671261,0.8885211472614609,0,GraphSAGE 100ep (full graph)
35,0.7666385769844055,0.8640265464782715,0.08897096187411407,0.8906212221668253,0,GraphSAGE 100ep (full graph)
36,0.7570953369140625,0.860460638999939,0.09573221242439918,0.8927349444758608,0,GraphSAGE 100ep (full graph)
37,0.7272074818611145,0.8639644980430603,0.09879915214938412,0.8949136532832881,0,GraphSAGE 100ep (full graph)
38,0.7598979473114014,0.8568815588951111,0.10514061226869062,0.8966246218282932,0,GraphSAGE 100ep (full graph)
39,0.719328761100769,0.8505513072013855,0.11220300531972131,0.8982548292927297,0,GraphSAGE 100ep (full graph)
40,0.7267270684242249,0.8460341691970825,0.11623840268018705,0.8997512874210135,0,GraphSAGE 100ep (full graph)
41,0.7024242877960205,0.8470725417137146,0.11894756693004914,0.9012209048587148,0,GraphSAGE 100ep (full graph)
42,0.7202814221382141,0.8483455777168274,0.1236029182780993,0.9024307197081416,0,GraphSAGE 100ep (full graph)
43,0.7027615308761597,0.8409644961357117,0.13018878693971037,0.9038473727911402,0,GraphSAGE 100ep (full graph)
44,0.7167900800704956,0.836791455745697,0.13683466701678595,0.905323825881118,0,GraphSAGE 100ep (full graph)
45,0.7074611186981201,0.8384613990783691,0.14015531012527704,0.907060918090243,0,GraphSAGE 100ep (full graph)
46,0.7115413546562195,0.8386678695678711,0.14551770453857632,0.9087226986199153,0,GraphSAGE 100ep (full graph)
47,0.6808915138244629,0.8316392302513123,0.15043137965048273,0.9102780485216588,0,GraphSAGE 100ep (full graph)
48,0.6720357537269592,0.8222905993461609,0.15781810657510711,0.9117542626028156,0,GraphSAGE 100ep (full graph)
49,0.7030449509620667,0.816753089427948,0.15979179403498872,0.913319340163568,0,GraphSAGE 100ep (full graph)
50,0.670497715473175,0.8147226572036743,0.16284691183359187,0.9148284418584752,0,GraphSAGE 100ep (full graph)
51,0.6764175295829773,0.8127298951148987,0.1653504949256383,0.9159992026665735,0,GraphSAGE 100ep (full graph)
52,0.6847704648971558,0.8033336400985718,0.166933724571408,0.9168691708736202,0,GraphSAGE 100ep (full graph)
53,0.670505166053772,0.8014407157897949,0.16884445465091336,0.9175210196307504,0,GraphSAGE 100ep (full graph)
54,0.6627410054206848,0.8071362376213074,0.17125806592680784,0.9179587881870368,0,GraphSAGE 100ep (full graph)
55,0.6649909615516663,0.7990010976791382,0.17478020260336746,0.9192091867342456,0,GraphSAGE 100ep (full graph)
56,0.6754277944564819,0.7901570796966553,0.17864962766321474,0.9206279908966319,0,GraphSAGE 100ep (full graph)
57,0.6563027501106262,0.7881977558135986,0.17940182127476398,0.9218326909572925,0,GraphSAGE 100ep (full graph)
58,0.6515581607818604,0.7902852892875671,0.18065298163312235,0.9225224943151752,0,GraphSAGE 100ep (full graph)
59,0.6579501032829285,0.783317506313324,0.1811979831898158,0.9231358865530291,0,GraphSAGE 100ep (full graph)
60,0.6265284419059753,0.7797542810440063,0.18435691972401694,0.9236421311364917,0,GraphSAGE 100ep (full graph)
61,0.6269789338111877,0.7874029278755188,0.18547031550368986,0.9239715808951645,0,GraphSAGE 100ep (full graph)
62,0.6237595677375793,0.7871723175048828,0.18791833937995445,0.9243886990893285,0,GraphSAGE 100ep (full graph)
63,0.6403890252113342,0.7723397016525269,0.1895825966507921,0.9252717888806403,0,GraphSAGE 100ep (full graph)
64,0.6187098026275635,0.7703799605369568,0.18964179383682836,0.9261441710767777,0,GraphSAGE 100ep (full graph)
65,0.6366575956344604,0.7751885652542114,0.19018444236276097,0.9272474357938654,0,GraphSAGE 100ep (full graph)
66,0.6072582006454468,0.769976019859314,0.19097913777588457,0.9283642523110958,0,GraphSAGE 100ep (full graph)
67,0.6145094037055969,0.7587483525276184,0.1902562445374094,0.9293499724900847,0,GraphSAGE 100ep (full graph)
68,0.6211152076721191,0.7529910802841187,0.1888944322822489,0.9300623143797746,0,GraphSAGE 100ep (full graph)
69,0.601672351360321,0.7550649642944336,0.18989781966198827,0.9304646618288095,0,GraphSAGE 100ep (full graph)
70,0.6097723841667175,0.7457336783409119,0.1922515770280169,0.9310609888368541,0,GraphSAGE 100ep (full graph)
71,0.5923342704772949,0.7389076352119446,0.19270565752185728,0.9315696235085252,0,GraphSAGE 100ep (full graph)
72,0.611925482749939,0.7385274171829224,0.192567791425753,0.9319843994162448,0,GraphSAGE 100ep (full graph)
73,0.5947182178497314,0.7420039176940918,0.18955727590124022,0.9324810836468731,0,GraphSAGE 100ep (full graph)
74,0.579046905040741,0.7349004149436951,0.18811801433936212,0.9332855634370041,0,GraphSAGE 100ep (full graph)
75,0.5853862762451172,0.7256650924682617,0.18816034538986515,0.9341338535439989,0,GraphSAGE 100ep (full graph)
76,0.5789938569068909,0.724166750907898,0.18951294292575738,0.9345945669470878,0,GraphSAGE 100ep (full graph)
77,0.5926869511604309,0.7188801169395447,0.19048844348267108,0.9350900800344937,0,GraphSAGE 100ep (full graph)
78,0.5772932171821594,0.723118782043457,0.19026007278219995,0.9354091568103413,0,GraphSAGE 100ep (full graph)
79,0.5767499208450317,0.7212554216384888,0.19089506342404244,0.9357851176855534,0,GraphSAGE 100ep (full graph)
80,0.5825430154800415,0.711837887763977,0.19409281601611597,0.9358485984283736,0,GraphSAGE 100ep (full graph)
81,0.5674949884414673,0.7257758975028992,0.1933205332158515,0.935615110711276,0,GraphSAGE 100ep (full graph)
82,0.5825026035308838,0.7152480483055115,0.1965509098210336,0.9361562983843481,0,GraphSAGE 100ep (full graph)
83,0.5797665119171143,0.7015399932861328,0.1994962910248862,0.937061353086297,0,GraphSAGE 100ep (full graph)
84,0.5393954515457153,0.7049282789230347,0.19708277813558212,0.93782242887456,0,GraphSAGE 100ep (full graph)
85,0.5505548715591431,0.7269361615180969,0.19013747769140743,0.9382470758465811,0,GraphSAGE 100ep (full graph)
86,0.5578157901763916,0.6938302516937256,0.19197074726947302,0.9389821952768987,0,GraphSAGE 100ep (full graph)
87,0.5602420568466187,0.690813422203064,0.19074733387140586,0.9390777988052426,0,GraphSAGE 100ep (full graph)
88,0.5765660405158997,0.6940538883209229,0.1856112059443964,0.9391467767509428,0,GraphSAGE 100ep (full graph)
89,0.5602691769599915,0.7157454490661621,0.18133965846938788,0.9390966327003265,0,GraphSAGE 100ep (full graph)
90,0.5434517860412598,0.6973992586135864,0.1869812710432316,0.939464419473865,0,GraphSAGE 100ep (full graph)
91,0.5518313050270081,0.6845776438713074,0.19768005344561326,0.939617337317451,0,GraphSAGE 100ep (full graph)
92,0.5482431054115295,0.6835213303565979,0.2033054075834809,0.9394375548824005,0,GraphSAGE 100ep (full graph)
93,0.5531750321388245,0.705761730670929,0.20165295654352433,0.9390392466824381,0,GraphSAGE 100ep (full graph)
94,0.5388266444206238,0.7069143652915955,0.20707896560194086,0.9389354929533029,0,GraphSAGE 100ep (full graph)
95,0.5506255030632019,0.684059739112854,0.21173985680078056,0.9392254584547697,0,GraphSAGE 100ep (full graph)
96,0.5426239371299744,0.6816127300262451,0.2152220182794746,0.9395748415491021,0,GraphSAGE 100ep (full graph)
97,0.5439550280570984,0.6862292289733887,0.21888540247313693,0.9401657430569133,0,GraphSAGE 100ep (full graph)
98,0.5223145484924316,0.6988281011581421,0.22205312603877952,0.9407368546343572,0,GraphSAGE 100ep (full graph)
99,0.5259942412376404,0.6891081929206848,0.22349077789980926,0.9413262025848326,0,GraphSAGE 100ep (full graph)
100,0.5320615768432617,0.6734800934791565,0.22616929324062657,0.9419228403043443,0,GraphSAGE 100ep (full graph)
